id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_tanah_longsor,satuan,tahun
301,32,JAWA BARAT,3204,KABUPATEN BANDUNG,33,KEJADIAN,2023
302,32,JAWA BARAT,3205,KABUPATEN GARUT,17,KEJADIAN,2023
303,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,8,KEJADIAN,2023
304,32,JAWA BARAT,3207,KABUPATEN CIAMIS,26,KEJADIAN,2023
305,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,9,KEJADIAN,2023
306,32,JAWA BARAT,3209,KABUPATEN CIREBON,1,KEJADIAN,2023
307,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,21,KEJADIAN,2023
308,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,8,KEJADIAN,2023
309,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,KEJADIAN,2023
310,32,JAWA BARAT,3213,KABUPATEN SUBANG,7,KEJADIAN,2023
311,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,25,KEJADIAN,2023
312,32,JAWA BARAT,3215,KABUPATEN KARAWANG,4,KEJADIAN,2023
313,32,JAWA BARAT,3216,KABUPATEN BEKASI,4,KEJADIAN,2023
314,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,43,KEJADIAN,2023
315,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,4,KEJADIAN,2023
316,32,JAWA BARAT,3271,KOTA BOGOR,37,KEJADIAN,2023
317,32,JAWA BARAT,3272,KOTA SUKABUMI,6,KEJADIAN,2023
318,32,JAWA BARAT,3273,KOTA BANDUNG,6,KEJADIAN,2023
319,32,JAWA BARAT,3274,KOTA CIREBON,2,KEJADIAN,2023
